11/12/2020 14:15:51 | KYH/Temp | 17.09
11/12/2020 14:15:51 | KYH/Response | +
11/12/2020 14:15:51 | KYH/Temp | 20.57
11/12/2020 14:15:51 | KYH/Response | +
11/12/2020 14:15:51 | KYH/Temp | 22.81
11/12/2020 14:15:51 | KYH/Response | -
11/12/2020 14:15:51 | KYH/Temp | 21.9
11/12/2020 14:15:51 | KYH/Response | +
11/12/2020 14:15:51 | KYH/Temp | 23.92
11/12/2020 14:15:52 | KYH/Response | -
11/12/2020 14:17:30 | KYH/Temp | 19.85
11/12/2020 14:17:30 | KYH/Response | +
11/12/2020 14:17:30 | KYH/Temp | 19.21
11/12/2020 14:17:30 | KYH/Response | +
11/12/2020 14:17:30 | KYH/Temp | 16.3
11/12/2020 14:17:30 | KYH/Response | +
11/12/2020 14:17:30 | KYH/Temp | 19.26
11/12/2020 14:17:30 | KYH/Response | +
11/12/2020 14:17:30 | KYH/Temp | 15.34
11/12/2020 14:17:30 | KYH/Response | +
11/12/2020 14:17:30 | KYH/Temp | 18.8
11/12/2020 14:17:30 | KYH/Response | +
11/12/2020 14:17:30 | KYH/Temp | 18.94
11/12/2020 14:17:31 | KYH/Response | +
11/12/2020 14:17:35 | KYH/Temp | 15.17
11/12/2020 14:17:36 | KYH/Response | +
11/12/2020 14:17:40 | KYH/Temp | 19.79
11/12/2020 14:17:41 | KYH/Response | +
11/12/2020 14:17:45 | KYH/Temp | 21.33
11/12/2020 14:17:46 | KYH/Response | +
11/12/2020 14:17:50 | KYH/Temp | 16.35
15/12/2020 13:20:41 | KYH/Temp | 18.51
15/12/2020 13:33:53 | KYH/Temp | 17.17
15/12/2020 13:33:58 | KYH/Temp | 18.53
15/12/2020 13:34:03 | KYH/Temp | 15.69
15/12/2020 13:34:08 | KYH/Temp | 17.35
15/12/2020 13:34:13 | KYH/Temp | 18.51
15/12/2020 13:34:18 | KYH/Temp | 16.75
15/12/2020 13:34:23 | KYH/Temp | 21.03
15/12/2020 13:34:28 | KYH/Temp | 16.12
15/12/2020 13:34:33 | KYH/Temp | 18.61
15/12/2020 13:34:38 | KYH/Temp | 23.51
15/12/2020 13:34:43 | KYH/Temp | 18.13
15/12/2020 13:34:48 | KYH/Temp | 23.23
15/12/2020 13:34:53 | KYH/Temp | 15.37
15/12/2020 13:34:58 | KYH/Temp | 19.6
15/12/2020 13:35:03 | KYH/Temp | 16.03
15/12/2020 13:35:08 | KYH/Temp | 23.26
15/12/2020 13:35:13 | KYH/Temp | 23.5
15/12/2020 13:35:18 | KYH/Temp | 20.71
15/12/2020 13:36:43 | KYH/Temp | 17.33
15/12/2020 13:37:18 | KYH/Temp | 21.88
15/12/2020 13:37:38 | KYH/Temp | 23.65
15/12/2020 13:39:47 | KYH/Temp | 20.8
15/12/2020 13:39:52 | KYH/Temp | 18.01
15/12/2020 13:39:57 | KYH/Temp | 23.05
15/12/2020 13:40:02 | KYH/Temp | 21.74
15/12/2020 13:40:02 | KYH/Response | +
15/12/2020 13:40:07 | KYH/Temp | 18.78
15/12/2020 13:40:07 | KYH/Response | +
15/12/2020 13:40:12 | KYH/Temp | 17.61
15/12/2020 13:40:12 | KYH/Response | +
